student_id,gender,department,attendance,internal_marks,assignment_score,previous_cgpa,backlogs
S001,Male,Computer,92,85,90,8.5,0
S002,Female,Computer,55,42,45,5.8,2
S003,Male,IT,78,68,72,7.2,0
S004,Female,Computer,48,35,40,5.2,3
S005,Male,IT,88,80,85,8.1,0
S006,Female,AI,65,55,60,6.5,1
S007,Male,AI,95,91,94,9.0,0
S008,Female,IT,52,44,48,5.9,2
S009,Male,Computer,82,74,78,7.8,0
S010,Female,AI,91,88,92,8.7,0
S011,Male,IT,59,50,52,6.1,2
S012,Female,Computer,73,65,68,7.0,1
S013,Male,AI,45,38,42,5.1,3
S014,Female,IT,86,79,83,8.0,0
S015,Male,Computer,67,58,61,6.7,1
S016,Female,AI,94,89,91,8.8,0
S017,Male,IT,50,41,46,5.6,2
S018,Female,Computer,76,70,74,7.4,0
S019,Male,AI,62,54,57,6.3,1
S020,Female,IT,89,84,87,8.3,0
