student_id,gender,department,attendance,internal_marks,assignment_score,previous_cgpa,backlogs,study_hours,at_risk
S00001,Male,Computer,80,69,63,9.08,0,6.0,0
S00002,Male,Computer,52,51,36,5.92,3,2.9,1
S00003,Female,Computer,82,55,65,8.94,0,4.4,0
S00004,Male,IT,57,38,57,6.49,3,1.8,1
S00005,Male,AI,72,79,60,8.43,0,5.9,0
S00006,Male,Computer,83,60,69,9.53,1,4.4,0
S00007,Female,Computer,78,97,72,8.96,0,6.0,0
S00008,Male,AI,75,84,79,7.44,0,6.4,0
S00009,Male,Computer,85,80,72,6.73,0,4.1,0
S00010,Female,IT,94,64,71,6.99,0,6.7,0
S00011,Female,AI,79,63,87,8.23,0,7.3,0
S00012,Male,AI,66,48,39,5.57,3,4.0,1
S00013,Female,AI,65,98,62,8.89,0,6.8,0
S00014,Female,Computer,75,84,55,9.84,0,7.9,0
S00015,Male,AI,84,95,87,8.63,0,4.9,0
S00016,Male,AI,98,55,93,7.63,0,3.6,0
S00017,Female,IT,80,91,60,6.8,1,7.1,0
S00018,Male,Computer,100,65,71,8.35,1,7.8,0
S00019,Male,AI,88,83,88,8.08,0,4.1,0
S00020,Female,Computer,79,92,69,6.53,0,4.1,0
S00021,Male,IT,52,43,66,5.23,1,3.2,1
S00022,Female,Computer,91,67,61,6.84,1,4.8,0
S00023,Female,IT,68,98,96,9.94,0,3.3,0
S00024,Female,Computer,77,89,83,6.99,0,4.4,0
S00025,Male,Computer,100,61,58,8.78,0,7.8,0
S00026,Male,Computer,95,68,80,9.66,0,4.9,0
S00027,Female,IT,94,73,82,8.94,1,3.8,0
S00028,Female,Computer,99,58,75,6.7,1,5.5,0
S00029,Male,Computer,70,66,59,8.58,0,5.0,0
S00030,Male,AI,70,81,97,8.54,0,7.7,0
S00031,Male,AI,80,71,80,6.96,0,5.3,0
S00032,Male,Computer,71,59,89,7.25,0,3.7,0
S00033,Female,Computer,88,73,65,8.03,0,6.1,0
S00034,Male,AI,84,97,61,9.79,0,4.3,0
S00035,Male,AI,82,73,93,7.24,0,4.0,0
S00036,Female,AI,68,60,95,7.98,0,3.2,0
S00037,Female,Computer,81,65,83,8.43,1,5.8,0
S00038,Male,Computer,74,89,57,9.42,0,5.1,0
S00039,Male,IT,67,77,68,8.89,0,4.8,0
S00040,Female,AI,80,65,66,9.58,0,3.9,0
S00041,Female,IT,80,72,65,9.26,0,4.9,0
S00042,Male,IT,94,77,74,9.37,0,4.1,0
S00043,Male,IT,69,72,77,8.75,1,6.4,0
S00044,Female,Computer,53,40,51,4.88,3,2.3,1
S00045,Female,IT,97,62,79,9.65,0,4.3,0
S00046,Female,Computer,99,98,97,7.19,1,3.3,0
S00047,Female,AI,72,74,87,7.58,1,4.6,0
S00048,Female,AI,58,56,59,6.15,1,2.8,1
S00049,Female,IT,65,74,73,7.24,0,5.3,0
S00050,Female,AI,95,65,97,6.8,0,3.5,0
S00051,Male,AI,77,64,56,6.66,1,6.1,0
S00052,Male,IT,77,100,99,7.84,1,4.2,0
S00053,Male,Computer,79,66,99,8.31,0,5.8,0
S00054,Male,IT,59,56,68,6.78,3,2.0,1
S00055,Female,AI,97,82,90,8.06,0,6.7,0
S00056,Female,IT,80,95,72,9.18,1,6.1,0
S00057,Female,IT,54,42,52,5.47,3,1.2,1
S00058,Male,Computer,74,100,68,6.72,1,4.7,0
